Contract_ID,Service_Type,Plan_Name,Unit_Price,Estimated_Usage,Contract_Price,Discount_Allowed,Tax_Rate,Billing_Cycle,Contract_Duration,SLA_Level
CON00001,SaaS,ERP,25,1320,33000,10,18,Yearly,12,Gold
CON00002,Voice,Voice Premium,5,1939,9695,0,18,Yearly,24,Silver
CON00003,Cloud,Basic Cloud,20,882,17640,15,18,Monthly,24,Platinum
CON00004,Voice,Voice Basic,5,2127,10635,10,18,Monthly,36,Gold
CON00005,SaaS,HRMS,25,2686,67150,15,18,Yearly,24,Bronze
CON00006,Cloud,Enterprise Cloud,20,2651,53020,5,18,Monthly,24,Platinum
CON00007,Internet,Fiber 1000,10,1498,14980,0,18,Monthly,12,Bronze
CON00008,SaaS,ERP,25,2546,63650,15,18,Yearly,36,Bronze
CON00009,Internet,Fiber 1000,10,2208,22080,10,18,Quarterly,24,Bronze
CON00010,Voice,Voice Basic,5,1476,7380,15,18,Monthly,12,Silver
CON00011,Internet,Fiber 300,10,1382,13820,10,18,Quarterly,12,Platinum
CON00012,Security,SOC,15,1194,17910,5,18,Quarterly,36,Gold
CON00013,Cloud,Business Cloud,20,898,17960,10,18,Yearly,36,Platinum
CON00014,Cloud,Enterprise Cloud,20,2214,44280,0,18,Quarterly,24,Gold
CON00015,Internet,Fiber 1000,10,2546,25460,10,18,Yearly,36,Bronze
CON00016,Voice,Voice Premium,5,2363,11815,15,18,Monthly,36,Bronze
CON00017,Cloud,Basic Cloud,20,1339,26780,10,18,Yearly,12,Silver
CON00018,Voice,Voice Basic,5,1536,7680,10,18,Quarterly,12,Bronze
CON00019,Internet,Fiber 300,10,2249,22490,10,18,Yearly,12,Silver
CON00020,Internet,Fiber 300,10,776,7760,15,18,Quarterly,24,Bronze
CON00021,Voice,Voice Premium,5,556,2780,5,18,Yearly,24,Gold
CON00022,Voice,Voice Premium,5,612,3060,15,18,Yearly,24,Silver
CON00023,Voice,Voice Basic,5,2072,10360,0,18,Yearly,12,Bronze
CON00024,SaaS,CRM,25,756,18900,15,18,Yearly,12,Silver
CON00025,Cloud,Business Cloud,20,913,18260,10,18,Quarterly,24,Gold
CON00026,Voice,Voice Premium,5,1409,7045,15,18,Monthly,36,Bronze
CON00027,Internet,Fiber 100,10,2630,26300,10,18,Quarterly,12,Platinum
CON00028,Internet,Fiber 100,10,661,6610,5,18,Quarterly,36,Platinum
CON00029,Internet,Fiber 300,10,1536,15360,15,18,Yearly,24,Gold
CON00030,Security,SOC,15,1738,26070,5,18,Quarterly,36,Gold
CON00031,Voice,Voice Premium,5,2088,10440,10,18,Monthly,12,Bronze
CON00032,Cloud,Business Cloud,20,2056,41120,10,18,Monthly,12,Gold
CON00033,Cloud,Basic Cloud,20,2578,51560,0,18,Yearly,24,Gold
CON00034,Internet,Fiber 300,10,2087,20870,15,18,Quarterly,24,Silver
CON00035,Internet,Fiber 300,10,2955,29550,10,18,Quarterly,12,Silver
CON00036,Security,Firewall,15,1994,29910,15,18,Quarterly,36,Platinum
CON00037,Internet,Fiber 300,10,1598,15980,0,18,Monthly,24,Gold
CON00038,Cloud,Enterprise Cloud,20,2384,47680,5,18,Quarterly,12,Platinum
CON00039,Cloud,Enterprise Cloud,20,2299,45980,0,18,Quarterly,24,Bronze
CON00040,Security,Firewall,15,1167,17505,10,18,Monthly,12,Bronze
CON00041,Voice,Voice Basic,5,2446,12230,5,18,Quarterly,12,Gold
CON00042,Voice,Voice Basic,5,2724,13620,5,18,Yearly,36,Bronze
CON00043,Cloud,Business Cloud,20,2765,55300,0,18,Monthly,36,Platinum
CON00044,Voice,Voice Basic,5,1405,7025,10,18,Yearly,36,Bronze
CON00045,SaaS,HRMS,25,1624,40600,0,18,Yearly,12,Bronze
CON00046,Security,Endpoint Security,15,2129,31935,0,18,Monthly,12,Platinum
